date,type,value
2/20/17,groceries,11.42
2/21/17,groceries,19.74
2/22/17,groceries,22.22
2/24/17,groceries,34.87
2/25/17,lunch out,42.2
2/26/17,groceries,14.75
2/28/17,groceries,8.07
2/28/17,lunch out,7.53
3/2/17,coffee,4.36
3/3/17,coffee,3.31
3/3/17,groceries,5
3/4/17,groceries,13.76
3/4/17,lunch out,30
3/9/17,dinner out,50
3/10/17,groceries,97.08
3/13/17,dinner out,10.76
3/13/17,lunch out,10.6
3/16/17,lunch out,15
3/17/17,dinner out,115
3/17/17,snack out,16.96
3/18/17,dinner out,6.3
3/18/17,snack out,3.24
3/19/17,groceries,60.77
3/22/17,groceries,61.08
3/23/17,groceries,36.26
3/24/17,dinner out,11.39
3/24/17,groceries,10.36
3/28/17,groceries,37.3
3/29/17,groceries,10.7
3/30/17,groceries,80.44
3/31/17,groceries,50.08
3/31/17,groceries,4.69
4/1/17,groceries,48.6
4/2/17,dinner out,10
4/4/17,groceries,4
4/5/17,groceries,9.98
4/5/17,groceries,4
4/9/17,breakfast out,26.23
4/10/17,groceries,4.49
4/11/17,groceries,13.66
4/14/17,groceries,10.39
4/16/17,snack out,5.67
4/17/17,groceries,34.29
4/17/17,groceries,7.35
4/19/17,dinner out,10
4/19/17,groceries,27.84
4/21/17,groceries,36.86
4/21/17,lunch out,8.5
4/22/17,groceries,12.28
4/23/17,dinner out,25
4/24/17,groceries,14.43
4/25/17,lunch out,5.43
4/27/17,groceries,39.05
4/29/17,dinner out,28
5/1/17,groceries,8.16
5/1/17,groceries,21.56
5/2/17,groceries,10
5/6/17,breakfast out,24
5/6/17,groceries,10
5/6/17,groceries,9.14
5/6/17,groceries,13.26
5/6/17,lunch out,15
5/7/17,groceries,5
5/8/17,coffee,5
5/8/17,lunch out,9.85
5/9/17,dinner out,8
5/10/17,breakfast out,5.54
5/10/17,groceries,7.93
5/14/17,breakfast out,15.75
5/15/17,groceries,14.31
5/17/17,dinner out,33.13
5/17/17,groceries,34.46
5/23/17,groceries,45.89
5/23/17,groceries,25.46
5/24/17,groceries,1.19
5/24/17,groceries,11.36
5/25/17,groceries,7.78
5/25/17,lunch out,6.51
5/26/17,groceries,30.96
5/27/17,groceries,5.69
5/27/17,groceries,1.99
5/29/17,groceries,3.39
6/1/17,groceries,40.83
6/4/17,groceries,17.26
6/4/17,groceries,4.24
6/4/17,lunch out,12.44
6/6/17,groceries,18
6/7/17,groceries,15.68
6/7/17,groceries,26.48
6/9/17,groceries,4.07
6/12/17,lunch out,13.25
6/14/17,groceries,8.58
6/15/17,lunch out,6.51
6/16/17,groceries,4.79
6/18/17,dinner out,25
6/18/17,snack out,5.5
6/20/17,groceries,18.92
6/20/17,groceries,20.43
6/23/17,groceries,14.72
6/23/17,groceries,2.22
6/24/17,groceries,8.27
6/25/17,groceries,17.92
6/27/17,groceries,16.95
6/30/17,groceries,11.78
7/1/17,groceries,3.49
7/1/17,groceries,10.55
7/3/17,snack out,6
